Token,LOC,PER,ORG,MISC
Parties,,,x,
Chapitres,,,,x
les,,,,x
septembres,,,,x
vers,,,,x
lasVille,x,,,
de,,,,x
Montereau,x,,,
spr,,,,
ssdespartir,,,,
sfumaits,,,,
sgrosstourbillonssdevantslesquaisSaint,,,,
Bernard,,,,
ssDessgenssarrivaientshorssd,,,,
haleines,,,,
sdessbarriques,,,,
sdessc,,,,
bles,,,,
sdesscorbeillessdeslingesg,,,,
naientslascirculations,,,,
slessmatelotssnesr,,,,
pondaients,,,,
spersonnes,,,,
sonssesheurtaits,,,,
slesscolissmontaientsentreslessdeuxstambours,,,,
setslestapagess,,,,
absorbaitsdansslesbruissementsdeslasvapeur,,,,
squi,,,,
ss,,,,
chappantsparsdessplaquessdest,,,,
le,,,,
senveloppaitstoutsd,,,,
unesnu,,,,
esblanch,,,,
tre,,,,
standissqueslascloche,,,,
s,,,,
sl,,,,
avant,,,,
stintaitssanssdiscontinuer,,,,
ssEnfinslesnavirespartits,,,,
setslessdeuxsberges,,,,
speupl,,,,
essdesmagasins,,,,
sdeschantierssetsd,,,,
usines,,,,
sfil,,,,
rentscommesdeuxslargessrubanssquesl,,,,
onsd,,,,
roule,,,,
ssUnsjeuneshommesdesdix,,,,
huitsans,,,,
s,,,,
slongsscheveuxsetsquistenaitsunsalbumssousssonsbras,,,,
srestaitsaupr,,,,
ssdusgouvernail,,,,
simmobile,,,,
sAstraversslesbrouillard,,,,
silscontemplaitsdessclochers,,,,
sdess,,,,
dificessdontsilsnessavaitspasslessnomss,,,,
spuissilsembrassa,,,,
sdanssunsdernierscoupsd,,,,
il,,,,
sl,,,,
lesSaint,x,,,
Louis,,,,
slasCit,,,,
sNotre,,,,
Dames,,,,
setsbient,,,,
t,,,,
sParissdisparaissant,,,,
silspoussasunsgrandssoupir,,,,
ssM,,,,
sFr,,,,
d,,,,
ricsMoreau,,,,
snouvellementsre,,,,
usbachelier,,,,
ss,,,,
ensretournaits,,,,
sNogent,,,,
sur,,,,
Seine,x,,,
so,,,,
silsdevaitslanguirspendantsdeuxsmois,,,,
savantsd,,,,
allersfairessonsdroit,,,,
sSasm,,,,
re,,,,
savecslassommesindispensable,,,,
sl,,,,
avaitsenvoy,,,,
sausHavresvoirsunsoncle,,,,
sdontsellesesp,,,,
rait,,,,
spourslui,,,,
sl,,,,
h,,,,
ritages,,,,
silsens,,,,
taitsrevenuslasveillesseulements,,,,
setsilssesd,,,,
dommageaitsdesnespouvoirss,,,,
journersdansslascapitale,,,,
sensregagnantssasprovincesparslasrouteslasplusslongue,,,,
ssLestumultess,,,,
apaisaits,,,,
stoussavaientsprissleursplaces,,,,
squelques,,,,
uns,,,,
sdebout,,,,
sseschauffaientsautoursdeslasmachine,,,,
setslaschemin,,,,
escrachaitsavecsunsr,,,,
leslentsetsrythmiquessonspanachesdesfum,,,,
esnoires,,,,
sdessgouttelettessdesros,,,,
escoulaientssurslesscuivress,,,,
slespontstremblaitssoussunespetitesvibrationsint,,,,
rieure,,,,
setslessdeuxsroues,,,,
stournantsrapidement,,,,
sbattaientsl,,,,
eau,,,,
ssLasrivi,,,,
res,,,,
taitsbord,,,,
esparsdessgr,,,,
vessdessable,,,,
sOnsrencontraitsdesstrainssdesboissquissesmettaients,,,,
sondulerssousslesremoussdessvagues,,,,
sousbien,,,,
sdanssunsbateaussanssvoiles,,,,
sunshommesassissp,,,,
chaits,,,,
spuisslessbrumesserrantesssesfondirent,,,,
slessoleilsparut,,,,
slascollinesquissuivaits,,,,
sdroiteslescourssdeslasSeinespeus,,,,
speuss,,,,
abaissa,,,,
setsilsenssurgitsunesautre,,,,
splussproche,,,,
ssurslasrivesoppos,,,,
e,,,,
ssDessarbresslascouronnaientsparmisdessmaisonssbassesscouvertessdestoitss,,,,
sl,,,,
italienne,,,,
sEllessavaientsdessjardinssenspentesquesdivisaientsdessmurssneufs,,,,
sdessgrillessdesfer,,,,
sdessgazons,,,,
sdessserresschaudes,,,,
setsdessvasessdesg,,,,
raniums,,,,
sespac,,,,
ssr,,,,
guli,,,,
rementssursdessterrassesso,,,,
sl,,,,
onspouvaitss,,,,
accouder,,,,
sPlussd,,,,
un,,,,
sensapercevantscesscoquettessr,,,,
sidences,,,,
ssistranquilles,,,,
senviaitsd,,,,
ens,,,,
treslespropri,,,,
taire,,,,
spoursvivresl,,,,
sjusqu,,,,
slasfinsdessessjours,,,,
savecsunsbonsbillard,,,,
suneschaloupe,,,,
sunesfemmesousquelquesautresr,,,,
ve,,,,
sLesplaisirstoutsnouveausd,,,,
unesexcursionsmaritimesfacilitaitsless,,,,
panchements,,,,
sD,,,,
j,,,,
slessfarceursscommen,,,,
aientsleurssplaisanteries,,,,
sBeaucoupschantaient,,,,
sOns,,,,
taitsgai,,,,
sIlssesversaitsdesspetitssverres,,,,
ssFr,,,,
d,,,,
ricspensaits,,,,
slaschambresqu,,,,
ilsoccuperaitsl,,,,
bas,,,,
sausplansd,,,,
unsdrame,,,,
s,,,,
sdesssujetssdestableaux,,,,
s,,,,
sdesspassionssfutures,,,,
sIlstrouvaitsqueslesbonheursm,,,,
rit,,,,
sparsl,,,,
excellencesdessons,,,,
mestardaits,,,,
svenir,,,,
sIlssesd,,,,
clamasdessverssm,,,,
lancoliquess,,,,
silsmarchaitssurslesponts,,,,
spassrapidess,,,,
silss,,,,
avan,,,,
asjusqu,,,,
ausbout,,,,
sdusc,,,,
t,,,,
sdeslascloches,,,,
s,,,,
set,,,,
sdanssunscerclesdespassagerssetsdesmatelots,,,,
silsvitsunsmonsieursquiscontaitsdessgalanteriess,,,,
sunespaysanne,,,,
stoutsensluismaniantslascroixsd,,,,
orsqu,,,,
ellesportaitssurslaspoitrine,,,,
sC,,,,
taitsunsgaillardsd,,,,
unesquarantainesd,,,,
ann,,,,
es,,,,
s,,,,
scheveuxscr,,,,
pus,,,,
sSastaillesrobustesemplissaitsunesjaquettesdesvelourssnoir,,,,
sdeuxs,,,,
meraudessbrillaients,,,,
ssaschemisesdesbatiste,,,,
setssonslargespantalonsblancstombaitssursd,,,,
trangessbottessrouges,,,,
senscuirsdesRussie,,,,
srehauss,,,,
essdesdessinssbleus,,,,
ssLaspr,,,,
sencesdesFr,,,,
d,,,,
ricsneslesd,,,,
rangeaspas,,,,
sIlssestournasverssluisplusieurssfois,,,,
sensl,,,,
interpellantsparsdessclinssd,,,,
ils,,,,
sensuitesilsoffritsdesscigaress,,,,
stoussceuxsquisl,,,,
entouraient,,,,
sMais,,,,
sennuy,,,,
sdescettescompagnie,,,,
ssanssdoute,,,,
silsallassesmettresplussloin,,,,
sFr,,,,
d,,,,
ricslessuivit,,,,
ssLasconversationsroulasd,,,,
abordssurslessdiff,,,,
rentessesp,,,,
cessdestabacs,,,,
spuis,,,,
stoutsnaturellement,,,,
ssurslessfemmes,,,,
sLesmonsieursensbottessrougessdonnasdessconseilssausjeuneshommes,,,,
silsexposaitsdessth,,,,
ories,,,,
snarraitsdessanecdotes,,,,
ssescitaitslui,,,,
m,,,,
mesensexemple,,,,
sd,,,,
bitantstoutscelasd,,,,
unstonspaterne,,,,
savecsunesing,,,,
nuit,,,,
sdescorruptionsdivertissante,,,,
ssIls,,,,
taitsr,,,,
publicains,,,,
silsavaitsvoyag,,,,
silsconnaissaitsl,,,,
int,,,,
rieursdessth,,,,
tres,,,,
sdessrestaurants,,,,
sdessjournaux,,,,
setstousslessartistessc,,,,
l,,,,
bres,,,,
squ,,,,
ilsappelaitsfamili,,,,
rementsparsleursspr,,,,
nomss,,,,
sFr,,,,
d,,,,
ricsluisconfiasbient,,,,
tssessprojetss,,,,
silslessencouragea,,,,
ssMaissilss,,,,
interrompitspoursobserverslestuyausdeslaschemin,,,,
e,,,,
spuissilsmarmottasvitesunslongscalcul,,,,
safinsdessavoirs,,,,
scombienschaquescoupsdespiston,,,,
s,,,,
stantsdesfoissparsminute,,,,
sdevait,,,,
setc,,,,
s,,,,
s,,,,
sEt,,,,
slassommestrouv,,,,
e,,,,
silsadmirasbeaucoupslespaysage,,,,
sIlssesdisaitsheureuxsd,,,,
tres,,,,
chapp,,,,
sauxsaffaires,,,,
ssFr,,,,
d,,,,
rics,,,,
prouvaitsunscertainsrespectspourslui,,,,
setsnesr,,,,
sistaspass,,,,
sl,,,,
enviesdessavoirssonsnom,,,,
sL,,,,
inconnusr,,,,
ponditstoutsd,,,,
uneshaleines,,,,
ss,,,,
sJacquessArnouxspropri,,,,
tairesdesl,,,,
Artsindustriel,,,,
sboulevardsMontmartre,,,,
s,,,,
ssUnsdomestiquesayantsunsgalonsd,,,,
ors,,,,
slascasquettesvintsluisdires,,,,
ss,,,,
sSisMonsieursvoulaitsdescendres,,,,
sMademoisellespleure,,,,
s,,,,
ssIlsdisparut,,,,
ssL,,,,
Artsindustriels,,,,
taitsuns,,,,
tablissementshybride,,,,
scomprenantsunsjournalsdespeinturesetsunsmagasinsdestableaux,,,,
sFr,,,,
d,,,,
ricsavaitsvuscestitre,,,,
l,,,,
splusieurssfois,,,,
s,,,,
sl,,,,
talagesduslibrairesdessonspayssnatal,,,,
ssursd,,,,
immensessprospectus,,,,
so,,,,
slesnomsdesJacquessArnouxssesd,,,,
veloppaitsmagistralement,,,,
ssLessoleilsdardaitsd,,,,
aplomb,,,,
sensfaisantsreluireslessgabillotssdesfersautoursdessm,,,,
ts,,,,
slessplaquessdusbastingagesetslassurfacesdesl,,,,
eaus,,,,
sellessescoupaits,,,,
slasprouesensdeuxssillons,,,,
squissesd,,,,
roulaientsjusqu,,,,
ausbordsdessprairies,,,,
sAschaquesd,,,,
